1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,1129,,,1328,1645
,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,1149,,,1343,1684
,,,,,,,,,,,0,,,,,,1273,,,,,,,,,,,,,,,,,,1174,,,1448,1710
,,,,,,,,,,,0,,,,,,1301,,,,,,,,,,,,,,,,,,1193,,,1465,1749
,,,,,,,,,,,,,,,,,1315,,,,,,,,,,,,,,,,,,1219,,,1508,1775
,,,,,,,,,,,,,,,,,1343,,,,,,,,,,,,,,,,,,1240,,,1524,1814
,,,,,,,,,,,,,,,,,1356,,,,,,,,,,,,,,,,,,,,,1548,1840
,,,,,,,,,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,,,1565,1879
,,,,,,,,,,,,,,,,,1399,,,,,,,,,,,,,,,,,,,,,1588,1905
,,,,,,,,,,,,,,,,,1435,,,,,,,,,,,,,,,,,,,,,1603,1944
,,,,,,,,,,,,,,,,,1441,,,,,,,,,,,,,,,,,,,,,,1970
,,,,,,,,,,,,,,,,,1485,,,,,,,,,,,,,,,,,,,,,,2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269
