1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,1439,,,,,,0,,,,,,,,,,,,,,,,,,1121,,,1322,1643
,,,,,,,,,,,1489,,,,,,0,,,,,,,,,,,,,,,,,,1159,,,1352,1692
,,,,,,,,,,,1493,,,,,,1265,,,,,,,,,,,,,,,,,,1166,,,1442,1708
,,,,,,,,,,,1526,,,,,,1353,,,,,,,,,,,,,,,,,,1204,,,1472,1765
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1212,,,1502,1773
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1250,,,1532,1829
,,,,,,,,,,,,,,,,,1353,,,,,,,,,,,,,,,,,,,,,1542,1838
,,,,,,,,,,,,,,,,,1408,,,,,,,,,,,,,,,,,,,,,1572,1895
,,,,,,,,,,,,,,,,,1394,,,,,,,,,,,,,,,,,,,,,1582,1903
,,,,,,,,,,,,,,,,,1492,,,,,,,,,,,,,,,,,,,,,1609,1960
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1968
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285
