1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,1429,,,,,,1181,,,,,,,,,,,,,,,,,,1111,,,1304,1633
,,,,,,,,,,,1440,,,,,,1181,,,,,,,,,,,,,,,,,,1122,,,1323,1633
,,,,,,,,,,,1487,,,,,,1229,,,,,,,,,,,,,,,,,,1157,,,1350,1690
,,,,,,,,,,,1494,,,,,,1266,,,,,,,,,,,,,,,,,,1167,,,1443,1709
,,,,,,,,,,,1524,,,,,,1305,,,,,,,,,,,,,,,,,,1202,,,1470,1763
,,,,,,,,,,,,,,,,,1305,,,,,,,,,,,,,,,,,,1213,,,1503,1774
,,,,,,,,,,,,,,,,,1351,,,,,,,,,,,,,,,,,,1248,,,1530,1827
,,,,,,,,,,,,,,,,,1354,,,,,,,,,,,,,,,,,,,,,1543,1839
,,,,,,,,,,,,,,,,,1399,,,,,,,,,,,,,,,,,,,,,1570,1893
,,,,,,,,,,,,,,,,,1399,,,,,,,,,,,,,,,,,,,,,1583,1904
,,,,,,,,,,,,,,,,,1440,,,,,,,,,,,,,,,,,,,,,1607,1958
,,,,,,,,,,,,,,,,,1440,,,,,,,,,,,,,,,,,,,,,,1969
,,,,,,,,,,,,,,,,,1489,,,,,,,,,,,,,,,,,,,,,,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283
